Day,HR,SDNN
Monday,77.81578947,0.0355863
Tuesday,101.9782609,0.0135466
Wednesday,104.9574468,2.24E-08
Thursday,87.70212766,2.24E-08
Friday,88.82978723,2.24E-08
Saturday,91.40425532,2.24E-08
Sunday,87.31914894,2.24E-08
Monday,79.52173913,0.0238244
Tuesday,88.02272727,0.0242803
Wednesday,81.65909091,0.0242803
Thursday,84.84090909,0.0277851
Friday,92.65957447,0.0185175
Saturday,92.20408163,0.0313117
Sunday,168.84,7.84E-09
Monday,142.12,7.84E-09
Tuesday,109.5714286,0.0313117
Wednesday,103.6595745,2.24E-08
Thursday,139.4042553,2.24E-08
Friday,150.2978723,2.24E-08
Saturday,105.1702128,2.24E-08
Sunday,119.5869565,0.0238244
Monday,120.2272727,0.0277851
Tuesday,93.13333333,0.0328757
Wednesday,114.6170213,2.24E-08
Thursday,115.9361702,2.24E-08
Friday,87.55319149,2.24E-08
Saturday,115.4468085,2.24E-08
Sunday,133.0425532,2.24E-08
Monday,92.19148936,2.24E-08
Tuesday,99.02173913,0.0206584
Wednesday,113.7391304,0.0238244
Thursday,96.47727273,0.032446
Friday,87.36363636,0.0255937
Saturday,85.38636364,0.0308189
Sunday,90.95454545,0.0191037
Monday,77.91304348,0.0273284
Tuesday,82.78723404,2.24E-08
Wednesday,117,2.24E-08
Thursday,122.5531915,2.24E-08
Friday,104.1276596,2.24E-08
Saturday,121.7446809,2.24E-08
Sunday,91.40425532,2.24E-08
Monday,91.04255319,2.24E-08
Tuesday,103.5106383,2.24E-08
Wednesday,89.87234043,2.24E-08
Thursday,112.2553191,2.24E-08
Friday,92.36170213,2.24E-08
Saturday,87.70212766,2.24E-08
Sunday,91.4893617,2.24E-08
Monday,94.40425532,2.24E-08
Tuesday,100.4680851,2.24E-08
Wednesday,111.8723404,2.24E-08
Thursday,115.5106383,2.24E-08
Friday,105.9787234,2.24E-08
Saturday,93.65957447,2.24E-08
Sunday,93.44680851,2.24E-08
Monday,89.85106383,2.24E-08
Tuesday,88.44444444,0.0323278
Wednesday,85.8,0.0284712
Thursday,121.8409091,0.0242803
Friday,91.89361702,0.0236053
Saturday,88.80851064,2.24E-08
Sunday,88.0212766,2.24E-08
